,Survived,Age,Fare,Pclass
0,0.0,22.0,7.25,3
1,1.0,38.0,71.2833,1
2,1.0,26.0,7.925,3
3,1.0,35.0,53.1,1
4,0.0,35.0,8.05,3
5,0.0,,8.4583,3
6,0.0,54.0,51.8625,1
7,0.0,2.0,21.075,3
8,1.0,27.0,11.1333,3
9,1.0,14.0,30.0708,2
10,1.0,4.0,16.7,3
11,1.0,58.0,26.55,1
12,0.0,20.0,8.05,3
13,0.0,39.0,31.275,3
14,0.0,14.0,7.8542,3
15,1.0,55.0,16.0,2
16,0.0,2.0,29.125,3
17,1.0,,13.0,2
18,0.0,31.0,18.0,3
19,1.0,,7.225,3
20,0.0,35.0,26.0,2
21,1.0,34.0,13.0,2
22,1.0,15.0,8.0292,3
23,1.0,28.0,35.5,1
24,0.0,8.0,21.075,3
25,1.0,38.0,31.3875,3
26,0.0,,7.225,3
27,0.0,19.0,263.0,1
28,1.0,,7.8792,3
29,0.0,,7.8958,3
30,0.0,40.0,27.7208,1
31,1.0,,146.5208,1
32,1.0,,7.75,3
33,0.0,66.0,10.5,2
34,0.0,28.0,82.1708,1
35,0.0,42.0,52.0,1
36,1.0,,7.2292,3
37,0.0,21.0,8.05,3
38,0.0,18.0,18.0,3
39,1.0,14.0,11.2417,3
40,0.0,40.0,9.475,3
41,0.0,27.0,21.0,2
42,0.0,,7.8958,3
43,1.0,3.0,41.5792,2
44,1.0,19.0,7.8792,3
45,0.0,,8.05,3
46,0.0,,15.5,3
47,1.0,,7.75,3
48,0.0,,21.6792,3
49,0.0,18.0,17.8,3
50,0.0,7.0,39.6875,3
51,0.0,21.0,7.8,3
52,1.0,49.0,76.7292,1
53,1.0,29.0,26.0,2
54,0.0,65.0,61.9792,1
55,1.0,,35.5,1
56,1.0,21.0,10.5,2
57,0.0,28.5,7.2292,3
58,1.0,5.0,27.75,2
59,0.0,11.0,46.9,3
60,0.0,22.0,7.2292,3
61,1.0,38.0,80.0,1
62,0.0,45.0,83.475,1
63,0.0,4.0,27.9,3
64,0.0,,27.7208,1
65,1.0,,15.2458,3
66,1.0,29.0,10.5,2
67,0.0,19.0,8.1583,3
68,1.0,17.0,7.925,3
69,0.0,26.0,8.6625,3
70,0.0,32.0,10.5,2
71,0.0,16.0,46.9,3
72,0.0,21.0,73.5,2
73,0.0,26.0,14.4542,3
74,1.0,32.0,56.4958,3
75,0.0,25.0,7.65,3
76,0.0,,7.8958,3
77,0.0,,8.05,3
78,1.0,0.83,29.0,2
79,1.0,30.0,12.475,3
80,0.0,22.0,9.0,3
81,1.0,29.0,9.5,3
82,1.0,,7.7875,3
83,0.0,28.0,47.1,1
84,1.0,17.0,10.5,2
85,1.0,33.0,15.85,3
86,0.0,16.0,34.375,3
87,0.0,,8.05,3
88,1.0,23.0,263.0,1
89,0.0,24.0,8.05,3
90,0.0,29.0,8.05,3
91,0.0,20.0,7.8542,3
92,0.0,46.0,61.175,1
93,0.0,26.0,20.575,3
94,0.0,59.0,7.25,3
95,0.0,,8.05,3
96,0.0,71.0,34.6542,1
97,1.0,23.0,63.3583,1
98,1.0,34.0,23.0,2
99,0.0,34.0,26.0,2
100,0.0,28.0,7.8958,3
101,0.0,,7.8958,3
102,0.0,21.0,77.2875,1
103,0.0,33.0,8.6542,3
104,0.0,37.0,7.925,3
105,0.0,28.0,7.8958,3
106,1.0,21.0,7.65,3
107,1.0,,7.775,3
108,0.0,38.0,7.8958,3
109,1.0,,24.15,3
110,0.0,47.0,52.0,1
111,0.0,14.5,14.4542,3
112,0.0,22.0,8.05,3
113,0.0,20.0,9.825,3
114,0.0,17.0,14.4583,3
115,0.0,21.0,7.925,3
116,0.0,70.5,7.75,3
117,0.0,29.0,21.0,2
118,0.0,24.0,247.5208,1
119,0.0,2.0,31.275,3
120,0.0,21.0,73.5,2
121,0.0,,8.05,3
122,0.0,32.5,30.0708,2
123,1.0,32.5,13.0,2
124,0.0,54.0,77.2875,1
125,1.0,12.0,11.2417,3
126,0.0,,7.75,3
127,1.0,24.0,7.1417,3
128,1.0,,22.3583,3
129,0.0,45.0,6.975,3
130,0.0,33.0,7.8958,3
131,0.0,20.0,7.05,3
132,0.0,47.0,14.5,3
133,1.0,29.0,26.0,2
134,0.0,25.0,13.0,2
135,0.0,23.0,15.0458,2
136,1.0,19.0,26.2833,1
137,0.0,37.0,53.1,1
138,0.0,16.0,9.2167,3
139,0.0,24.0,79.2,1
140,0.0,,15.2458,3
141,1.0,22.0,7.75,3
142,1.0,24.0,15.85,3
143,0.0,19.0,6.75,3
144,0.0,18.0,11.5,2
145,0.0,19.0,36.75,2
146,1.0,27.0,7.7958,3
147,0.0,9.0,34.375,3
148,0.0,36.5,26.0,2
149,0.0,42.0,13.0,2
150,0.0,51.0,12.525,2
151,1.0,22.0,66.6,1
152,0.0,55.5,8.05,3
153,0.0,40.5,14.5,3
154,0.0,,7.3125,3
155,0.0,51.0,61.3792,1
156,1.0,16.0,7.7333,3
157,0.0,30.0,8.05,3
158,0.0,,8.6625,3
159,0.0,,69.55,3
160,0.0,44.0,16.1,3
161,1.0,40.0,15.75,2
162,0.0,26.0,7.775,3
163,0.0,17.0,8.6625,3
164,0.0,1.0,39.6875,3
165,1.0,9.0,20.525,3
166,1.0,,55.0,1
167,0.0,45.0,27.9,3
168,0.0,,25.925,1
169,0.0,28.0,56.4958,3
170,0.0,61.0,33.5,1
171,0.0,4.0,29.125,3
172,1.0,1.0,11.1333,3
173,0.0,21.0,7.925,3
174,0.0,56.0,30.6958,1
175,0.0,18.0,7.8542,3
176,0.0,,25.4667,3
177,0.0,50.0,28.7125,1
178,0.0,30.0,13.0,2
179,0.0,36.0,0.0,3
180,0.0,,69.55,3
181,0.0,,15.05,2
182,0.0,9.0,31.3875,3
183,1.0,1.0,39.0,2
184,1.0,4.0,22.025,3
185,0.0,,50.0,1
186,1.0,,15.5,3
187,1.0,45.0,26.55,1
188,0.0,40.0,15.5,3
189,0.0,36.0,7.8958,3
190,1.0,32.0,13.0,2
191,0.0,19.0,13.0,2
192,1.0,19.0,7.8542,3
193,1.0,3.0,26.0,2
194,1.0,44.0,27.7208,1
195,1.0,58.0,146.5208,1
196,0.0,,7.75,3
197,0.0,42.0,8.4042,3
198,1.0,,7.75,3
199,0.0,24.0,13.0,2
200,0.0,28.0,9.5,3
201,0.0,,69.55,3
202,0.0,34.0,6.4958,3
203,0.0,45.5,7.225,3
204,1.0,18.0,8.05,3
205,0.0,2.0,10.4625,3
206,0.0,32.0,15.85,3
207,1.0,26.0,18.7875,3
208,1.0,16.0,7.75,3
209,1.0,40.0,31.0,1
210,0.0,24.0,7.05,3
211,1.0,35.0,21.0,2
212,0.0,22.0,7.25,3
213,0.0,30.0,13.0,2
214,0.0,,7.75,3
215,1.0,31.0,113.275,1
216,1.0,27.0,7.925,3
217,0.0,42.0,27.0,2
218,1.0,32.0,76.2917,1
219,0.0,30.0,10.5,2
220,1.0,16.0,8.05,3
221,0.0,27.0,13.0,2
222,0.0,51.0,8.05,3
223,0.0,,7.8958,3
224,1.0,38.0,90.0,1
225,0.0,22.0,9.35,3
226,1.0,19.0,10.5,2
227,0.0,20.5,7.25,3
228,0.0,18.0,13.0,2
229,0.0,,25.4667,3
230,1.0,35.0,83.475,1
231,0.0,29.0,7.775,3
232,0.0,59.0,13.5,2
233,1.0,5.0,31.3875,3
234,0.0,24.0,10.5,2
235,0.0,,7.55,3
236,0.0,44.0,26.0,2
237,1.0,8.0,26.25,2
238,0.0,19.0,10.5,2
239,0.0,33.0,12.275,2
240,0.0,,14.4542,3
241,1.0,,15.5,3
242,0.0,29.0,10.5,2
243,0.0,22.0,7.125,3
244,0.0,30.0,7.225,3
245,0.0,44.0,90.0,1
246,0.0,25.0,7.775,3
247,1.0,24.0,14.5,2
248,1.0,37.0,52.5542,1
249,0.0,54.0,26.0,2
250,0.0,,7.25,3
251,0.0,29.0,10.4625,3
252,0.0,62.0,26.55,1
253,0.0,30.0,16.1,3
254,0.0,41.0,20.2125,3
255,1.0,29.0,15.2458,3
256,1.0,,79.2,1
257,1.0,30.0,86.5,1
258,1.0,35.0,512.3292,1
259,1.0,50.0,26.0,2
260,0.0,,7.75,3
261,1.0,3.0,31.3875,3
262,0.0,52.0,79.65,1
263,0.0,40.0,0.0,1
264,0.0,,7.75,3
265,0.0,36.0,10.5,2
266,0.0,16.0,39.6875,3
267,1.0,25.0,7.775,3
268,1.0,58.0,153.4625,1
269,1.0,35.0,135.6333,1
270,0.0,,31.0,1
271,1.0,25.0,0.0,3
272,1.0,41.0,19.5,2
273,0.0,37.0,29.7,1
274,1.0,,7.75,3
275,1.0,63.0,77.9583,1
276,0.0,45.0,7.75,3
